"name"                                                                                      ,"source"    ,"page" ,"rarity"          ,"reqAttune"                                                       ,"reqAttuneTags" ,"wondrous" ,"bonusSpellAttack" ,"bonusSpellSaveDc" ,"focus" ,"entries"
"+2 Bloodwell Vial"                                                                         ,"TCE"       ,"122"  ,"rare"            ,"by a sorcerer"                                                   ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
"+2 Dragonhide Belt"                                                                        ,"FTD"       ,"23"   ,"rare"            ,"by a monk"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"+2 Fate Dealer's Deck"                                                                     ,"BMT"       ,"61"   ,"very rare"       ,"by a cleric or paladin"                                          ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
"+2 Moon Sickle"                                                                            ,"TCE"       ,"133"  ,"rare"            ,"by a druid or ranger"                                            ,""              ,""         ,"+2"               ,"+2"               ,""      ,""
"+2 Rhythm-Maker's Drum"                                                                    ,"TCE"       ,"134"  ,"rare"            ,"by a bard"                                                       ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
"+2 Ring of Protection"                                                                     ,"TDCSR"     ,"263"  ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"+2 Rod of the Pact Keeper"                                                                 ,"DMG"       ,"197"  ,"rare"            ,"by a warlock"                                                    ,""              ,""         ,"+2"               ,"+2"               ,""      ,""
"+2 Studded Leather Armor of Acid Resistance"                                               ,"TDCSR"     ,"271"  ,"unknown (magic)" ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"+2 Studded White Dragon Leather Armor of Cold Resistance"                                  ,"TDCSR"     ,"267"  ,"unknown (magic)" ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"+2 Wand of the War Mage"                                                                   ,"DMG"       ,"212"  ,"rare"            ,"by a spellcaster"                                                ,""              ,""         ,"+2"               ,""                 ,""      ,""
"+2 Wraps of Unarmed Prowess"                                                               ,"BMT"       ,"69"   ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"+3 All-Purpose Tool"                                                                       ,"TCE"       ,"119"  ,"very rare"       ,"by an artificer"                                                 ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"+3 Amulet of the Devout"                                                                   ,"TCE"       ,"119"  ,"very rare"       ,"by a cleric or paladin"                                          ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"+3 Arcane Grimoire"                                                                        ,"TCE"       ,"120"  ,"very rare"       ,"by a wizard"                                                     ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"+3 Bloodwell Vial"                                                                         ,"TCE"       ,"122"  ,"very rare"       ,"by a sorcerer"                                                   ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"+3 Dragonhide Belt"                                                                        ,"FTD"       ,"23"   ,"very rare"       ,"by a monk"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"+3 Fate Dealer's Deck"                                                                     ,"BMT"       ,"61"   ,"legendary"       ,"by a cleric or paladin"                                          ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"+3 Moon Sickle"                                                                            ,"TCE"       ,"133"  ,"very rare"       ,"by a druid or ranger"                                            ,""              ,""         ,"+3"               ,"+3"               ,""      ,""
"+3 Rhythm-Maker's Drum"                                                                    ,"TCE"       ,"134"  ,"very rare"       ,"by a bard"                                                       ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"+3 Rod of the Pact Keeper"                                                                 ,"DMG"       ,"197"  ,"very rare"       ,"by a warlock"                                                    ,""              ,""         ,"+3"               ,"+3"               ,""      ,""
"+3 Wand of the War Mage"                                                                   ,"DMG"       ,"212"  ,"very rare"       ,"by a spellcaster"                                                ,""              ,""         ,"+3"               ,""                 ,""      ,""
"+3 Wraps of Unarmed Prowess"                                                               ,"BMT"       ,"69"   ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Abacus"                                                                                    ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Abracadabrus"                                                                              ,"IDRotF"    ,"314"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Accounting and Valuation of All Things"                                                    ,"CoA"       ,"272"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Acid (vial)"                                                                               ,"PHB"       ,"148"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Acid Absorbing Tattoo"                                                                     ,"TCE"       ,"119"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Adamantine Bar"                                                                            ,"WDH"       ,"90"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Adjustable Stilts"                                                                         ,"WDH"       ,"47"   ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Adze of Annam"                                                                             ,"BGG"       ,"110"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Agony (Awakened)"                                                                          ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Agony (Dormant)"                                                                           ,"TDCSR"     ,"202"  ,"legendary"       ,"by a creature of non-good alignment"                             ,""              ,""         ,""                 ,""                 ,""      ,""
"Agony (Exalted)"                                                                           ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Airship"                                                                                   ,"DMG"       ,"119"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Akmon, Hammer of Purphoros"                                                                ,"MOT"       ,"198"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Alchemical Compendium"                                                                     ,"TCE"       ,"119"  ,"rare"            ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Alchemist's Doom"                                                                          ,"SCC"       ,"179"  ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Alchemist's Fire (flask)"                                                                  ,"PHB"       ,"148"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Alchemist's Supplies"                                                                      ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Alchemy Jug"                                                                               ,"DMG"       ,"150"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Alchemy Jug (Blue)"                                                                        ,"CM"        ,"144"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Alchemy Jug (Orange)"                                                                      ,"CM"        ,"144"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ale (Gallon)"                                                                              ,"PHB"       ,"158"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ale (Mug)"                                                                                 ,"PHB"       ,"158"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Alexandrite"                                                                               ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Amber"                                                                                     ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Amber Runestone"                                                                           ,"NRH-TLT"   ,"6"    ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amethyst"                                                                                  ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Amethyst Lodestone"                                                                        ,"FTD"       ,"22"   ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet"                                                                                    ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Amulet of Appearance"                                                                      ,"CoA"       ,"267"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of Betrayal"                                                                        ,"CoA"       ,"267"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of dinosaur feathers (Sun Empire)"                                                  ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Amulet of Duplicity"                                                                       ,"CoA"       ,"267"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of Harmony"                                                                         ,"NRH-AT"    ,"8"    ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of Health"                                                                          ,"DMG"       ,"150"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of Proof against Detection and Location"                                            ,"DMG"       ,"150"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of Protection from Turning"                                                         ,"TftYP"     ,"228"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of the Black Skull"                                                                 ,"ToA"       ,"206"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of the Drunkard"                                                                    ,"EGW"       ,"265"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of the Inferno"                                                                     ,"CoA"       ,"273"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Amulet of the Planes"                                                                      ,"DMG"       ,"150"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Animated Shield"                                                                           ,"DMG"       ,"151"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Antitoxin (vial)"                                                                          ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Apparatus of Kwalish"                                                                      ,"DMG"       ,"151"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Aqua Delerium"                                                                             ,"DoDk"      ,"230"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Aqua Expurgo"                                                                              ,"DoDk"      ,"230"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Aquamarine"                                                                                ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Arcanaloth's Music Box"                                                                    ,"ToA"       ,"188"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Arcane Cannon"                                                                             ,"EGW"       ,"265"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Arcane Oil"                                                                                ,"GHLoE"     ,"111"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Arcane Propulsion Arm"                                                                     ,"ERLW"      ,"276"  ,"very rare"       ,"by a creature missing a hand or an arm"                          ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Armor of Invulnerability"                                                                  ,"DMG"       ,"152"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Armor of the Valiant Soul (Awakened)"                                                      ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Armor of the Valiant Soul (Dormant)"                                                       ,"TDCSR"     ,"202"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Armor of the Valiant Soul (Exalted)"                                                       ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Armor of Vulnerability (Bludgeoning)"                                                      ,"DMG"       ,"152"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Armor of Vulnerability (Piercing)"                                                         ,"DMG"       ,"152"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Armor of Vulnerability (Slashing)"                                                         ,"DMG"       ,"152"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Arrow-Catching Shield"                                                                     ,"DMG"       ,"152"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Ascendant Dragon Vessel"                                                                   ,"FTD"       ,""     ,"legendary"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ascendant Dragon-Touched Focus"                                                            ,"FTD"       ,""     ,"legendary"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ascendant Scaled Ornament"                                                                 ,"FTD"       ,""     ,"legendary"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Assassin's Blood"                                                                          ,"DMG"       ,"258"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Astral Shard"                                                                              ,"TCE"       ,"120"  ,"rare"            ,"by a sorcerer"                                                   ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Astromancy Archive"                                                                        ,"TCE"       ,"120"  ,"rare"            ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Atlas of Endless Horizons"                                                                 ,"TCE"       ,"120"  ,"rare"            ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Axe Beak"                                                                                  ,"IDRotF"    ,"20"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Axe of the Dwarvish Lords"                                                                 ,"DMG"       ,"221"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Azorius Guild Signet"                                                                      ,"GGR"       ,"178"  ,"uncommon"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Azorius Keyrune"                                                                           ,"GGR"       ,"177"  ,"rare"            ,"by a member of the Azorius guild"                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Azuredge"                                                                                  ,"WDH"       ,"189"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Azuremite"                                                                                 ,"TDCSR"     ,"141"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Azurite"                                                                                   ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Baba Yaga's Mortar and Pestle"                                                             ,"TCE"       ,"121"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Baba Yaga's Pestle"                                                                        ,"TCE"       ,"121"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Backpack"                                                                                  ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Backpack Parachute"                                                                        ,"WDH"       ,"47"   ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Badge of the Watch"                                                                        ,"WDH"       ,"189"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bag of Beans"                                                                              ,"DMG"       ,"152"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bag of Devouring"                                                                          ,"DMG"       ,"153"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bag of Holding"                                                                            ,"DMG"       ,"153"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bag of Tricks, Gray"                                                                       ,"DMG"       ,"154"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bag of Tricks, Rust"                                                                       ,"DMG"       ,"154"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bag of Tricks, Tan"                                                                        ,"DMG"       ,"154"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Balance of Harmony"                                                                        ,"TftYP"     ,"228"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Baleful Talon"                                                                             ,"BMT"       ,"34"   ,"very rare"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ball Bearing"                                                                              ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ball Bearings (bag of 1,000)"                                                              ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Balloon Pack"                                                                              ,"PotA"      ,"222"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Banded Agate"                                                                              ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Banner of the Krig Rune"                                                                   ,"SKT"       ,"233"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Barking Box"                                                                               ,"WDH"       ,"47"   ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Barrel"                                                                                    ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Barrier Peaks Trinket"                                                                     ,"LLK"       ,"7"    ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Barrier Tattoo (Large)"                                                                    ,"TCE"       ,"122"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Barrier Tattoo (Medium)"                                                                   ,"TCE"       ,"122"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Barrier Tattoo (Small)"                                                                    ,"TCE"       ,"122"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Basic Fishing Equipment"                                                                   ,"AAG"       ,"21"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Basic Poison (vial)"                                                                       ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Basket"                                                                                    ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Battering Shield"                                                                          ,"EGW"       ,"266"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Battle Standard of Infernal Power"                                                         ,"BGDIA"     ,"223"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bead of Force"                                                                             ,"DMG"       ,"154"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bead of Nourishment"                                                                       ,"XGE"       ,"136"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bead of Refreshment"                                                                       ,"XGE"       ,"136"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bedroll"                                                                                   ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Bejeweled ivory drinking horn with gold filigree"                                          ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Bejeweled ivory drinking horn with gold inlay (Brazen Coalition)"                          ,"PSX"       ,"25"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Belashyrra's Beholder Crown"                                                               ,"ERLW"      ,"276"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bell"                                                                                      ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Bell Branch"                                                                               ,"TCE"       ,"122"  ,"rare"            ,"by a druid or warlock"                                           ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Cloud Giant Strength"                                                              ,"DMG"       ,"155"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Dwarvenkind"                                                                       ,"DMG"       ,"155"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Fire Giant Strength"                                                               ,"DMG"       ,"155"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Frost Giant Strength"                                                              ,"DMG"       ,"155"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Hill Giant Strength"                                                               ,"DMG"       ,"155"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Stone Giant Strength"                                                              ,"DMG"       ,"155"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Belt of Storm Giant Strength"                                                              ,"DMG"       ,"155"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bigby's Beneficent Bracelet"                                                               ,"BGG"       ,"111"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Bit and bridle"                                                                            ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Biza's Breath"                                                                             ,"JttRC"     ,"70"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Black Chromatic Rose"                                                                      ,"WBtW"      ,"208"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Black Crystal Tablet"                                                                      ,"WDMM"      ,"284"  ,"legendary"       ,"by a creature that has proficiency in the {@skill Arcana} skill" ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Black Dragon Mask"                                                                         ,"HotDQ"     ,"94"   ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Black Dragon Scale Mail"                                                                   ,"DMG"       ,"165"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
